date3,yobs,robs,infobs
1990Q1,-0.005136468118911,0.027349607774757,0.133762384787346
1990Q2,-0.0051039421488,0.027349607774757,0.134878045195129
1990Q3,-0.003895683130461,0.027349607774757,0.150326536498708
1990Q4,-0.00118455577379,0.027349607774757,0.124243308946649
1991Q1,-0.001578025120236,0.036429265626675,0.096492890054361
1991Q2,0.000308548305633,0.036429265626675,0.069298012115529
1991Q3,-0.000188543507245,0.03342375548695,0.053923150548575
1991Q4,-0.00235577808434,0.021189299069938,0.04241798814325
1992Q1,-0.000776348836462,0.021189299069938,0.030721129360462
1992Q2,-0.003135582597208,0.021189299069938,0.034909073367748
1992Q3,-0.004441537212459,0.027349607774757,0.047196960041267
1992Q4,-0.003008987398315,0.031408464251624,0.054344888767631
1993Q1,-0.001253542641946,0.036429265626675,0.090857395981534
1993Q2,0.000127594905911,0.036429265626675,0.100508394501962
1993Q3,0.00051255152623,0.036429265626675,0.103427397382767
1993Q4,-0.000553939815607,0.036429265626675,0.106054840093786
1994Q1,-0.002357367246755,0.036429265626675,0.084683497903251
1994Q2,-0.003402559188353,0.036429265626675,0.082390377581716
1994Q3,-0.003960755921481,0.036429265626675,0.100715086573082
1994Q4,-0.003072729811101,0.036429265626675,0.127687787539851
1995Q1,-0.002545937733014,0.040404528914159,0.157124195504869
1995Q2,-0.001317785521623,0.040404528914159,0.209112703738592
1995Q3,-0.000492445663281,0.046300019652969,0.229937685907934
1995Q4,0.000209918529962,0.046300019652969,0.232538717530599
1996Q1,0.001628537191209,0.046300019652969,0.216904498521673
1996Q2,0.001203129022793,0.046300019652969,0.171492427252901
1996Q3,0.001493670860444,0.046300019652969,0.135164466656955
1996Q4,0.001485178199148,0.046300019652969,0.122739992962358
1997Q1,0.001426847828981,0.046300019652969,0.11132973670415
1997Q2,0.001520346245642,0.046300019652969,0.110758008879888
1997Q3,0.001676538567013,0.046300019652969,0.106292912175657
1997Q4,0.001884018875696,0.046300019652969,0.082174775484666
1998Q1,0.002368879329304,0.046300019652969,0.080265627339845
1998Q2,0.002438407955043,0.046300019652969,0.085647288296857
1998Q3,0.002932556299149,0.04336227802113,0.069594105177555
1998Q4,0.00249033458866,0.03842144564246,0.063520999689991
1999Q1,0.001992004307422,0.03342375548695,0.055913223916149
1999Q2,0.001654380298205,0.028367883697062,0.04241798814325
1999Q3,0.000981197561361,0.028367883697062,0.04840295615274
1999Q4,0.000591169613596,0.028367883697062,0.056142262059052
2000Q1,-0.000641308125053,0.028367883697062,0.062845113277051
2000Q2,-0.001501226953395,0.028367883697062,0.078601800355391
2000Q3,-0.001873420144863,0.028367883697062,0.121559844187501
2000Q4,-0.001660903414176,0.028367883697062,0.1477999492012
2001Q1,-0.001610427214578,0.028367883697062,0.152135396861876
2001Q2,-0.00142507781639,0.028367883697062,0.136213065513025
2001Q3,-0.00126241434166,0.028367883697062,0.108260504976473
2001Q4,-0.001156912168985,0.028367883697062,0.083824996053337
2002Q1,-0.000615186332688,0.025817703252009,0.064457989226919
2002Q2,-0.000145396677568,0.025817703252009,0.055760464687735
2002Q3,0.000310823120261,0.025817703252009,0.052693941924968
2002Q4,0.000606337316793,0.025817703252009,0.061452479087193
2003Q1,0.001332688872957,0.028876127736229,0.113408506818175
2003Q2,0.001863395838883,0.028876127736229,0.123655674438122
2003Q3,0.002088238004892,0.027349607774757,0.113241232432599
2003Q4,0.002621010595695,0.022737587632799,0.118165485243124
2004Q1,0.00327722435016,0.021189299069938,0.063032965039097
2004Q2,0.003106708995123,0.019635471001316,0.071882007306125
2004Q3,0.00279510335249,0.019635471001316,0.077876404359281
2004Q4,0.002559722323665,0.019635471001316,0.066102196766773
2005Q1,0.002425723377617,0.019635471001316,0.07110842178245
2005Q2,0.002870551980931,0.017555014414844,0.057095289612667
2005Q3,0.00391119249309,0.016511036792168,0.058198187878254
2005Q4,0.005124264610332,0.016511036792168,0.05656185185946
2006Q1,0.006024105669427,0.01546454355833,0.04641711698399
2006Q2,0.0049963214294,0.01546454355833,0.046846203945821
2006Q3,0.002677077197049,0.01546454355833,0.047936516138079
2006Q4,-0.000455490451633,0.013363961557982,0.045009860905824
2007Q1,-0.003120156129195,0.013363961557982,0.042142183064956
2007Q2,-0.003365773399597,0.013363961557982,0.04410838744612
2007Q3,-0.001408806498901,0.013363961557982,0.042142183064956
2007Q4,0.00242940178275,0.014415522560603,0.052116550549998
2008Q1,0.006500047861702,0.015202525763412,0.056104097422453
2008Q2,0.008975283197878,0.01703333929878,0.073388381115178
2008Q3,0.008794143829742,0.018076063645795,0.071476967698918
2008Q4,0.006501793928872,0.018076063645795,0.072360203963489
2009Q1,0.002533856055077,0.019635471001316,0.081095156561341
2009Q2,-0.000559483318546,0.019635471001316,0.081851171517454
2009Q3,-0.002683502917343,0.019635471001316,0.073241647611999
2009Q4,-0.003246013111491,0.019116290447073,0.064383104412197
2010Q1,-0.001607707651351,0.01703333929878,0.054229909863397
2010Q2,0.0016948939626,0.01598810538413,0.039414119176137
2010Q3,0.006796673203611,0.014415522560603,0.039017321997412
2010Q4,0.012390836442608,0.014415522560603,0.035829825252828
2011Q1,0.017572785959362,0.014415522560603,0.037944155203099
2011Q2,0.020186616175865,0.013890060328439,0.035789833127757
2011Q3,0.019866272688981,0.013363961557982,0.035029282202368
2011Q4,0.017435143346881,0.013363961557982,0.035749837319661
2012Q1,0.013864283866177,0.014415522560603,0.036549054479152
2012Q2,0.010193369119487,0.01598810538413,0.039176084376041
2012Q3,0.007237482490368,0.01598810538413,0.039136399222095
